ts_recv,instrument_id,raw_symbol,underlying,instrument_class,expiration,strike_price
2025-09-22 10:30:00.880155266+00:00,33554727,AAPL  261218C00380000,AAPL,C,2026-12-18,380.0
2025-09-22 10:30:00.895014262+00:00,16777507,AAPL  251219C00255000,AAPL,C,2025-12-19,255.0
2025-09-22 10:30:00.895024468+00:00,16777508,AAPL  251017C00330000,AAPL,C,2025-10-17,330.0
2025-09-22 10:30:00.898026552+00:00,16777511,AAPL  251219C00390000,AAPL,C,2025-12-19,390.0
2025-09-22 10:30:00.905038528+00:00,16777515,AAPL  251017C00250000,AAPL,C,2025-10-17,250.0
2025-09-22 10:30:00.905048256+00:00,16777516,AAPL  251017C00190000,AAPL,C,2025-10-17,190.0
2025-09-22 10:30:00.908040261+00:00,16777519,AAPL  251017C00305000,AAPL,C,2025-10-17,305.0
2025-09-22 10:30:00.908045620+00:00,16777520,AAPL  251017C00235000,AAPL,C,2025-10-17,235.0
2025-09-22 10:30:00.909741076+00:00,33554749,AAPL  260116C00380000,AAPL,C,2026-01-16,380.0
2025-09-22 10:30:00.915062533+00:00,16777523,AAPL  251017C00130000,AAPL,C,2025-10-17,130.0
2025-09-22 10:30:00.918064313+00:00,16777527,AAPL  251017C00175000,AAPL,C,2025-10-17,175.0
2025-09-22 10:30:00.925096185+00:00,16777532,AAPL  270617P00075000,AAPL,P,2027-06-17,75.0
2025-09-22 10:30:00.932960122+00:00,33554769,AAPL  260320C00185000,AAPL,C,2026-03-20,185.0
2025-09-22 10:30:00.932971143+00:00,33554770,AAPL  260320C00320000,AAPL,C,2026-03-20,320.0
2025-09-22 10:30:00.935109299+00:00,16777539,AAPL  270617P00175000,AAPL,P,2027-06-17,175.0
2025-09-22 10:30:00.935120274+00:00,16777540,AAPL  270617C00330000,AAPL,C,2027-06-17,330.0
2025-09-22 10:30:00.938112162+00:00,16777543,AAPL  270617P00085000,AAPL,P,2027-06-17,85.0
2025-09-22 10:30:00.938122138+00:00,16777544,AAPL  270617P00190000,AAPL,P,2027-06-17,190.0
2025-09-22 10:30:00.942983410+00:00,33554777,AAPL  260320C00310000,AAPL,C,2026-03-20,310.0
2025-09-22 10:30:00.945137993+00:00,16777547,AAPL  270617P00270000,AAPL,P,2027-06-17,270.0
2025-09-22 10:30:00.948137101+00:00,16777551,AAPL  270617C00125000,AAPL,C,2027-06-17,125.0
2025-09-22 10:30:00.948145951+00:00,16777552,AAPL  270617C00400000,AAPL,C,2027-06-17,400.0
2025-09-22 10:30:00.949840896+00:00,33554781,AAPL  260320P00115000,AAPL,P,2026-03-20,115.0
2025-09-22 10:30:00.949851480+00:00,33554782,AAPL  260320P00135000,AAPL,P,2026-03-20,135.0
2025-09-22 10:30:00.950326352+00:00,33554783,AAPL  260320C00170000,AAPL,C,2026-03-20,170.0
2025-09-22 10:30:00.950336871+00:00,33554784,AAPL  260320C00240000,AAPL,C,2026-03-20,240.0
2025-09-22 10:30:00.953162992+00:00,33554787,AAPL  260320C00155000,AAPL,C,2026-03-20,155.0
2025-09-22 10:30:00.953179376+00:00,33554788,AAPL  260320P00260000,AAPL,P,2026-03-20,260.0
2025-09-22 10:30:00.959864212+00:00,33554789,AAPL  260320C00200000,AAPL,C,2026-03-20,200.0
2025-09-22 10:30:01.056945373+00:00,16777637,AAPL  271217C00355000,AAPL,C,2027-12-17,355.0
2025-09-22 10:30:01.056950667+00:00,16777638,AAPL  271217P00240000,AAPL,P,2027-12-17,240.0
2025-09-22 10:30:01.059686800+00:00,16777641,AAPL  271217C00325000,AAPL,C,2027-12-17,325.0
2025-09-22 10:30:01.059706662+00:00,16777642,AAPL  271217P00225000,AAPL,P,2027-12-17,225.0
2025-09-22 10:30:01.066963362+00:00,16777645,AAPL  271217P00180000,AAPL,P,2027-12-17,180.0
2025-09-22 10:30:01.066974644+00:00,16777646,AAPL  271217P00120000,AAPL,P,2027-12-17,120.0
2025-09-22 10:30:01.069719872+00:00,16777649,AAPL  271217P00165000,AAPL,P,2027-12-17,165.0
2025-09-22 10:30:01.069740345+00:00,16777650,AAPL  271217P00105000,AAPL,P,2027-12-17,105.0
2025-09-22 10:30:01.076988180+00:00,16777653,AAPL  271217P00060000,AAPL,P,2027-12-17,60.0
2025-09-22 10:30:01.079753968+00:00,16777657,AAPL  271217P00310000,AAPL,P,2027-12-17,310.0
2025-09-22 10:30:01.113410143+00:00,33554913,AAPL  260320P00110000,AAPL,P,2026-03-20,110.0
2025-09-22 10:30:01.115545916+00:00,16777684,AAPL  271217C00415000,AAPL,C,2027-12-17,415.0
2025-09-22 10:30:01.125559430+00:00,16777691,AAPL  271217P00270000,AAPL,P,2027-12-17,270.0
2025-09-22 10:30:01.125569056+00:00,16777692,AAPL  271217P00210000,AAPL,P,2027-12-17,210.0
2025-09-22 10:30:01.128541008+00:00,16777695,AAPL  271217C00385000,AAPL,C,2027-12-17,385.0
2025-09-22 10:30:01.128550829+00:00,16777696,AAPL  271217P00255000,AAPL,P,2027-12-17,255.0
2025-09-22 10:30:01.135582176+00:00,16777699,AAPL  271217P00150000,AAPL,P,2027-12-17,150.0
2025-09-22 10:30:01.135593040+00:00,16777700,AAPL  271217P00090000,AAPL,P,2027-12-17,90.0
2025-09-22 10:30:01.138565683+00:00,16777703,AAPL  271217P00195000,AAPL,P,2027-12-17,195.0
2025-09-22 10:30:01.138574980+00:00,16777704,AAPL  271217P00135000,AAPL,P,2027-12-17,135.0
2025-09-22 10:30:01.143487754+00:00,33554937,AAPL  260320P00095000,AAPL,P,2026-03-20,95.0
2025-09-22 10:30:01.145611860+00:00,16777707,AAPL  271217P00295000,AAPL,P,2027-12-17,295.0
2025-09-22 10:30:01.148588919+00:00,16777711,AAPL  271217P00075000,AAPL,P,2027-12-17,75.0
2025-09-22 10:30:01.148598560+00:00,16777712,AAPL  271217P00280000,AAPL,P,2027-12-17,280.0
2025-09-22 10:30:01.160373+00:00,33554949,AAPL  260320P00090000,AAPL,P,2026-03-20,90.0
2025-09-22 10:30:01.183587692+00:00,33554969,AAPL  260918C00255000,AAPL,C,2026-09-18,255.0
2025-09-22 10:30:01.183598379+00:00,33554970,AAPL  260918C00195000,AAPL,C,2026-09-18,195.0
2025-09-22 10:30:01.190956159+00:00,33554976,AAPL  260918C00300000,AAPL,C,2026-09-18,300.0
2025-09-22 10:30:01.193611273+00:00,33554977,AAPL  260918P00120000,AAPL,P,2026-09-18,120.0
2025-09-22 10:30:01.193622189+00:00,33554978,AAPL  260918P00065000,AAPL,P,2026-09-18,65.0
2025-09-22 10:30:01.193752220+00:00,33554980,AAPL  260918P00280000,AAPL,P,2026-09-18,280.0
2025-09-22 10:30:01.200473804+00:00,33554981,AAPL  260918C00270000,AAPL,C,2026-09-18,270.0
2025-09-22 10:30:01.200483584+00:00,33554982,AAPL  260918C00210000,AAPL,C,2026-09-18,210.0
2025-09-22 10:30:01.200969730+00:00,33554983,AAPL  260918C00240000,AAPL,C,2026-09-18,240.0
2025-09-22 10:30:01.200980928+00:00,33554984,AAPL  260918C00180000,AAPL,C,2026-09-18,180.0
2025-09-22 10:30:01.203766541+00:00,33554987,AAPL  260918C00225000,AAPL,C,2026-09-18,225.0
2025-09-22 10:30:01.203776160+00:00,33554988,AAPL  260918C00165000,AAPL,C,2026-09-18,165.0
2025-09-22 10:30:01.210498426+00:00,33554989,AAPL  260918P00135000,AAPL,P,2026-09-18,135.0
2025-09-22 10:30:01.210507595+00:00,33554990,AAPL  260918C00080000,AAPL,C,2026-09-18,80.0
2025-09-22 10:30:01.210988076+00:00,33554991,AAPL  260918P00105000,AAPL,P,2026-09-18,105.0
2025-09-22 10:30:01.211003817+00:00,33554992,AAPL  260918P00050000,AAPL,P,2026-09-18,50.0
2025-09-22 10:30:01.213790301+00:00,33554995,AAPL  260918P00090000,AAPL,P,2026-09-18,90.0
2025-09-22 10:30:01.213800355+00:00,33554996,AAPL  260918C00360000,AAPL,C,2026-09-18,360.0
2025-09-22 10:30:01.298962205+00:00,16777832,AAPL  251017C00105000,AAPL,C,2025-10-17,105.0
2025-09-22 10:30:01.340530910+00:00,16777865,AAPL  251121C00350000,AAPL,C,2025-11-21,350.0
2025-09-22 10:30:01.340552909+00:00,16777866,AAPL  251121P00270000,AAPL,P,2025-11-21,270.0
2025-09-22 10:30:01.347612963+00:00,16777869,AAPL  251121P00210000,AAPL,P,2025-11-21,210.0
2025-09-22 10:30:01.347623488+00:00,16777870,AAPL  251121P00150000,AAPL,P,2025-11-21,150.0
2025-09-22 10:30:01.350559933+00:00,16777873,AAPL  251121P00195000,AAPL,P,2025-11-21,195.0
2025-09-22 10:30:01.350580223+00:00,16777874,AAPL  251121P00135000,AAPL,P,2025-11-21,135.0
2025-09-22 10:30:01.357637182+00:00,16777877,AAPL  251121P00105000,AAPL,P,2025-11-21,105.0
2025-09-22 10:30:01.406272957+00:00,16777915,AAPL  251121C00330000,AAPL,C,2025-11-21,330.0
2025-09-22 10:30:01.406283680+00:00,16777916,AAPL  251121P00240000,AAPL,P,2025-11-21,240.0
2025-09-22 10:30:01.409209856+00:00,16777920,AAPL  251121C00300000,AAPL,C,2025-11-21,300.0
2025-09-22 10:30:01.414143202+00:00,33555153,AAPL  260220P00190000,AAPL,P,2026-02-20,190.0
2025-09-22 10:30:01.414152958+00:00,33555154,AAPL  260220P00145000,AAPL,P,2026-02-20,145.0
2025-09-22 10:30:01.416301341+00:00,16777923,AAPL  251121P00180000,AAPL,P,2025-11-21,180.0
2025-09-22 10:30:01.416317842+00:00,16777924,AAPL  251121P00120000,AAPL,P,2025-11-21,120.0
2025-09-22 10:30:01.419223231+00:00,16777927,AAPL  251121P00225000,AAPL,P,2025-11-21,225.0
2025-09-22 10:30:01.419233799+00:00,16777928,AAPL  251121P00165000,AAPL,P,2025-11-21,165.0
2025-09-22 10:30:01.424166848+00:00,33555161,AAPL  260220P00220000,AAPL,P,2026-02-20,220.0
2025-09-22 10:30:01.424177187+00:00,33555162,AAPL  260220C00290000,AAPL,C,2026-02-20,290.0
2025-09-22 10:30:01.427798266+00:00,16777933,AAPL  260515C00360000,AAPL,C,2026-05-15,360.0
2025-09-22 10:30:01.427809073+00:00,16777934,AAPL  260515C00130000,AAPL,C,2026-05-15,130.0
2025-09-22 10:30:01.429247382+00:00,16777935,AAPL  251121C00115000,AAPL,C,2025-11-21,115.0
2025-09-22 10:30:01.430805473+00:00,16777937,AAPL  260515P00060000,AAPL,P,2026-05-15,60.0
2025-09-22 10:30:01.430826620+00:00,16777938,AAPL  260515C00390000,AAPL,C,2026-05-15,390.0
2025-09-22 10:30:01.431039529+00:00,33555166,AAPL  260220P00105000,AAPL,P,2026-02-20,105.0
2025-09-22 10:30:01.431514318+00:00,33555167,AAPL  260220C00120000,AAPL,C,2026-02-20,120.0
2025-09-22 10:30:01.431525151+00:00,33555168,AAPL  260220P00155000,AAPL,P,2026-02-20,155.0
2025-09-22 10:30:01.434311387+00:00,33555171,AAPL  260220C00135000,AAPL,C,2026-02-20,135.0
2025-09-22 10:30:01.434321376+00:00,33555172,AAPL  260220P00165000,AAPL,P,2026-02-20,165.0
2025-09-22 10:30:01.437828068+00:00,16777941,AAPL  260515P00260000,AAPL,P,2026-05-15,260.0
2025-09-22 10:30:01.437833032+00:00,16777942,AAPL  260515C00195000,AAPL,C,2026-05-15,195.0
2025-09-22 10:30:01.440839660+00:00,16777945,AAPL  260515P00290000,AAPL,P,2026-05-15,290.0
2025-09-22 10:30:01.440854659+00:00,16777946,AAPL  260515C00220000,AAPL,C,2026-05-15,220.0
2025-09-22 10:30:01.441051735+00:00,33555173,AAPL  260220C00205000,AAPL,C,2026-02-20,205.0
2025-09-22 10:30:01.441062213+00:00,33555174,AAPL  260220C00265000,AAPL,C,2026-02-20,265.0
2025-09-22 10:30:01.441537464+00:00,33555175,AAPL  260220C00240000,AAPL,C,2026-02-20,240.0
2025-09-22 10:30:01.441548418+00:00,33555176,AAPL  260220C00280000,AAPL,C,2026-02-20,280.0
2025-09-22 10:30:01.444335154+00:00,33555179,AAPL  260220P00245000,AAPL,P,2026-02-20,245.0
2025-09-22 10:30:01.444346070+00:00,33555180,AAPL  260220C00360000,AAPL,C,2026-02-20,360.0
2025-09-22 10:30:01.496507838+00:00,16777987,AAPL  260515C00090000,AAPL,C,2026-05-15,90.0
2025-09-22 10:30:01.496518239+00:00,16777988,AAPL  260515C00145000,AAPL,C,2026-05-15,145.0
2025-09-22 10:30:01.499425088+00:00,16777992,AAPL  260515P00110000,AAPL,P,2026-05-15,110.0
2025-09-22 10:30:01.506536936+00:00,16777995,AAPL  260515C00165000,AAPL,C,2026-05-15,165.0
2025-09-22 10:30:01.509438879+00:00,16777999,AAPL  260515C00160000,AAPL,C,2026-05-15,160.0
2025-09-22 10:30:01.509448877+00:00,16778000,AAPL  260515C00180000,AAPL,C,2026-05-15,180.0
2025-09-22 10:30:01.568139330+00:00,16778046,AAPL  260821C00250000,AAPL,C,2026-08-21,250.0
2025-09-22 10:30:01.571236466+00:00,16778050,AAPL  260821C00280000,AAPL,C,2026-08-21,280.0
2025-09-22 10:30:01.578151734+00:00,16778053,AAPL  260821P00165000,AAPL,P,2026-08-21,165.0
2025-09-22 10:30:01.581250360+00:00,16778057,AAPL  260821P00180000,AAPL,P,2026-08-21,180.0
2025-09-22 10:30:01.618247168+00:00,16778085,AAPL  260417P00140000,AAPL,P,2026-04-17,140.0
2025-09-22 10:30:01.618258968+00:00,16778086,AAPL  260417C00190000,AAPL,C,2026-04-17,190.0
2025-09-22 10:30:01.621375796+00:00,16778089,AAPL  260417P00145000,AAPL,P,2026-04-17,145.0
2025-09-22 10:30:01.621390618+00:00,16778090,AAPL  260417C00205000,AAPL,C,2026-04-17,205.0
2025-09-22 10:30:01.628271617+00:00,16778093,AAPL  260417P00230000,AAPL,P,2026-04-17,230.0
2025-09-22 10:30:01.631404160+00:00,16778097,AAPL  260417P00260000,AAPL,P,2026-04-17,260.0
2025-09-22 10:30:01.636866874+00:00,16778099,AAPL  260821C00330000,AAPL,C,2026-08-21,330.0
2025-09-22 10:30:01.636877883+00:00,16778100,AAPL  260821C00310000,AAPL,C,2026-08-21,310.0
2025-09-22 10:30:01.639755056+00:00,16778104,AAPL  260821C00220000,AAPL,C,2026-08-21,220.0
2025-09-22 10:30:01.646890680+00:00,16778107,AAPL  260821P00195000,AAPL,P,2026-08-21,195.0
2025-09-22 10:30:01.649768822+00:00,16778111,AAPL  260821P00155000,AAPL,P,2026-08-21,155.0
2025-09-22 10:30:01.649778690+00:00,16778112,AAPL  260821C00125000,AAPL,C,2026-08-21,125.0
2025-09-22 10:30:01.686992126+00:00,16778139,AAPL  260417C00160000,AAPL,C,2026-04-17,160.0
