ts_event,rtype,publisher_id,instrument_id,raw_symbol,security_update_action,instrument_class,min_price_increment,display_factor,expiration,activation,high_limit_price,low_limit_price,max_price_variation,trading_reference_price,unit_of_measure_qty,min_price_increment_amount,price_ratio,inst_attrib_value,underlying_id,raw_instrument_id,market_depth_implied,market_depth,market_segment_id,max_trade_vol,min_lot_size,min_lot_size_block,min_lot_size_round_lot,min_trade_vol,contract_multiplier,decay_quantity,original_contract_size,trading_reference_date,appl_id,maturity_year,decay_start_date,channel_id,currency,settl_currency,secsubtype,group,exchange,asset,cfi,security_type,unit_of_measure,underlying,strike_price_currency,strike_price,match_algorithm,md_security_trading_status,main_fraction,price_display_format,settl_price_type,sub_fraction,underlying_product,maturity_month,maturity_day,maturity_week,user_defined_instrument,contract_multiplier_unit,flow_schedule_type,tick_rule,symbol
2025-09-22 10:30:00.587040159+00:00,19,30,16777263,AAPL  251219C00225000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777263,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,225.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00225000
2025-09-22 10:30:00.587044768+00:00,19,30,16777264,AAPL  251219P00280000,A,P,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777264,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,280.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219P00280000
2025-09-22 10:30:00.589160701+00:00,19,30,33554486,AAPL  260116C00120000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554486,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,120.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00120000
2025-09-22 10:30:00.589185712+00:00,19,30,33554487,AAPL  260116C00275000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554487,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,275.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00275000
2025-09-22 10:30:00.589196017+00:00,19,30,33554488,AAPL  260116C00140000,A,C,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554488,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,140.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116C00140000
2025-09-22 10:30:00.589220770+00:00,19,30,33554491,AAPL  260116P00200000,A,P,,,2026-01-16 00:00:00+00:00,,,,,,,,,2147483647,94,33554491,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,2,USD,,,popra-2,OPRA,AAPL,,OPT,USD,AAPL,USD,200.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  260116P00200000
2025-09-22 10:30:00.595680502+00:00,19,30,16777270,AAPL  270115C00170000,A,C,,,2027-01-15 00:00:00+00:00,,,,,,,,,2147483647,94,16777270,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,170.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  270115C00170000
2025-09-22 10:30:00.598061239+00:00,19,30,16777274,AAPL  270115P00175000,A,P,,,2027-01-15 00:00:00+00:00,,,,,,,,,2147483647,94,16777274,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,175.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  270115P00175000
2025-09-22 10:30:00.614119411+00:00,19,30,16777284,AAPL  251219C00025000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777284,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,25.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00025000
2025-09-22 10:30:00.617126623+00:00,19,30,16777288,AAPL  251219C00320000,A,C,,,2025-12-19 00:00:00+00:00,,,,,,,,,2147483647,94,16777288,2147483647,2147483647,4294967295,4294967295,2147483647,2147483647,2147483647,4294967295,2147483647,2147483647,2147483647,65535,32767,65535,65535,1,USD,,,popra-1,OPRA,AAPL,,OPT,USD,AAPL,USD,320.0, ,255,255,255,255,255,255,255,255,255,N,127,127,255,AAPL  251219C00320000
